REVISED TASKS LOCATIONS

CA,unsat,None,15,3,5,0,15,2,0.31,2.78 
CA,sat,28,15,3,5,0,15,6,0.29,3.0 
CA,sat,36,15,3,5,0,15,0,0.29,3.19 
CA,sat,30,15,3,5,0,15,7,0.28,3.3 
CA,sat,24,15,3,5,0,15,4,0.27,3.39 
CA,sat,26,15,3,5,0,15,1,0.28,3.48 
CA,sat,34,15,3,5,0,15,3,0.31,4.95 
CA,sat,30,15,3,5,0,15,8,0.3,3.03 
CA,unsat,None,15,3,5,0,15,10,0.32,3.09 
CA,sat,32,15,3,5,0,15,9,0.31,3.79 
CA,sat,30,15,3,5,0,15,12,0.3,3.5 
CA,sat,34,15,3,5,0,15,13,0.32,3.73 
CA,sat,30,15,3,5,0,15,14,0.28,3.07 
CA,sat,26,15,3,5,0,15,11,0.31,10.06 
CA,unknown,None,15,3,5,0,15,15,0.28,22.91 
CA,unknown,None,15,3,5,0,15,5,0.3,32.0 
S,unsat,None,15,3,5,0,15,5,9.33,1.6 
S,sat,39,15,3,5,0,15,3,12.14,2.86 
S,sat,34,15,3,5,0,15,4,12.25,2.88 
S,sat,39,15,3,5,0,15,6,12.8,2.58 
S,sat,31,15,3,5,0,15,1,12.99,2.75 
S,unsat,None,15,3,5,0,15,2,14.84,1.97 
S,sat,41,15,3,5,0,15,0,14.72,2.2 
S,sat,33,15,3,5,0,15,7,17.43,2.71 
S,sat,33,15,3,5,0,15,8,10.61,3.11 
S,sat,31,15,3,5,0,15,11,16.84,3.69 
S,sat,35,15,3,5,0,15,12,13.77,6.81 
S,unsat,None,15,3,5,0,15,10,17.17,5.6 
S,sat,31,15,3,5,0,15,9,22.22,1.51 
S,unsat,None,15,3,5,0,15,15,17.38,2.26 
S,sat,36,15,3,5,0,15,13,22.27,1.9 
S,sat,35,15,3,5,0,15,14,21.98,2.43

CA,unsat,None,25,4,7,0,20,2,1.01,7.67 
CA,sat,66,25,4,7,0,20,1,1.02,10.75 
CA,sat,56,25,4,7,0,20,7,0.99,12.29 
CA,sat,34,25,4,7,0,20,6,0.94,14.2 
CA,sat,48,25,4,7,0,20,3,0.98,15.84 
CA,sat,38,25,4,7,0,20,4,0.98,19.6 
